Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), F_{Drag} (lbs), F_{Side} (lbs), F_{Lift} (lbs), L/D, F_{Aero x} (lbs), F_{Aero y} (lbs), F_{Aero z} (lbs), F_{Prop x} (lbs), F_{Prop y} (lbs), F_{Prop z} (lbs), F_{Gear x} (lbs), F_{Gear y} (lbs), F_{Gear z} (lbs), F_{Ext x} (lbs), F_{Ext y} (lbs), F_{Ext z} (lbs), F_{Buoyant x} (lbs), F_{Buoyant y} (lbs), F_{Buoyant z} (lbs), F_{Total x} (lbs), F_{Total y} (lbs), F_{Total z} (lbs), L_{Aero} (ft-lbs), M_{Aero} ( ft-lbs), N_{Aero} (ft-lbs), L_{Prop} (ft-lbs), M_{Prop} (ft-lbs), N_{Prop} (ft-lbs), L_{Gear} (ft-lbs), M_{Gear} (ft-lbs), N_{Gear} (ft-lbs), L_{ext} (ft-lbs), M_{ext} (ft-lbs), N_{ext} (ft-lbs), L_{Buoyant} (ft-lbs), M_{Buoyant} (ft-lbs), N_{Buoyant} (ft-lbs), L_{Total} (ft-lbs), M_{Total} (ft-lbs), N_{Total} (ft-lbs), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), ECEF X (ft), ECEF Y (ft), ECEF Z (ft), EPA (deg), Distance AGL (ft), Terrain Radius (ft), aero/function/kCLge, aero/coefficient/CDDh, aero/coefficient/CDmach, aero/coefficient/CDDlef, aero/coefficient/CDDflaps, aero/coefficient/CDgear, aero/coefficient/CDDsb, aero/coefficient/CDq, aero/coefficient/CDq_Dlef, aero/coefficient/CYb, aero/coefficient/CYb_M, aero/coefficient/CYDa, aero/coefficient/CYdr, aero/coefficient/CYp, aero/coefficient/CYr, aero/coefficient/CLDh, aero/coefficient/CLDlef, aero/coefficient/CLDflaps, aero/coefficient/CLDsb, aero/coefficient/CLq, aero/coefficient/CLq_Dsb, aero/coefficient/Clb, aero/coefficient/Clb_M, aero/coefficient/Clp, aero/coefficient/Clr, aero/coefficient/Clda, aero/coefficient/Clda_M, aero/coefficient/Cldr_M, aero/coefficient/Cldr, aero/coefficient/CmDh, aero/coefficient/Cma_M, aero/coefficient/CmDsb, aero/coefficient/Cmq, aero/coefficient/Cnb, aero/coefficient/Cnb_M, aero/coefficient/Cnp, aero/coefficient/Cnr, aero/coefficient/Cnda_M, aero/coefficient/Cnda, aero/coefficient/Cndr, aero/coefficient/Cndr_M, NOSE_LG WOW, NOSE_LG stroke (ft), NOSE_LG stroke velocity (ft/sec), NOSE_LG compress force (lbs), NOSE_LG wheel side force (lbs), NOSE_LG wheel roll force (lbs), NOSE_LG body X force (lbs), NOSE_LG body Y force (lbs), NOSE_LG wheel velocity vec X (ft/sec), NOSE_LG wheel velocity vec Y (ft/sec), NOSE_LG wheel rolling velocity (ft/sec), NOSE_LG wheel side velocity (ft/sec), NOSE_LG wheel slip (deg), LEFT_MLG WOW, LEFT_MLG stroke (ft), LEFT_MLG stroke velocity (ft/sec), LEFT_MLG compress force (lbs), LEFT_MLG wheel side force (lbs), LEFT_MLG wheel roll force (lbs), LEFT_MLG body X force (lbs), LEFT_MLG body Y force (lbs), LEFT_MLG wheel velocity vec X (ft/sec), LEFT_MLG wheel velocity vec Y (ft/sec), LEFT_MLG wheel rolling velocity (ft/sec), LEFT_MLG wheel side velocity (ft/sec), LEFT_MLG wheel slip (deg), RIGHT_MLG WOW, RIGHT_MLG stroke (ft), RIGHT_MLG stroke velocity (ft/sec), RIGHT_MLG compress force (lbs), RIGHT_MLG wheel side force (lbs), RIGHT_MLG wheel roll force (lbs), RIGHT_MLG body X force (lbs), RIGHT_MLG body Y force (lbs), RIGHT_MLG wheel velocity vec X (ft/sec), RIGHT_MLG wheel velocity vec Y (ft/sec), RIGHT_MLG wheel rolling velocity (ft/sec), RIGHT_MLG wheel side velocity (ft/sec), RIGHT_MLG wheel slip (deg),  Total Gear Force_X (lbs),  Total Gear Force_Y (lbs),  Total Gear Force_Z (lbs),  Total Gear Moment_L (ft-lbs),  Total Gear Moment_M (ft-lbs),  Total Gear Moment_N (ft-lbs)
0, 0.0000000000000000, 0.0000000000000001, -0.0000000000000000, 0.0004078367102527, 0.0309723306497980, 0.0002529565386126, 380.8527987, 30010365.54, 925.051872823, 1782.69956098, 925.0005980994682200, 0.0001269905316796, 9.7396575027712604, 925.0005980994682200, 0.0001269905316796, 9.7396575027712604, 925.0465227152709500, -3.1461444734294219, -0.0000000000015650, -3149.79136 , -0.02837313734 , -20427.70398, 6.485414951, -2934.538193 , -0.02880553869 , -20459.73511, 3147.282889 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.7446963003253600, -0.0288055386894011, -20459.7351135450590000, 0.08279326518 , 968.3428093 , 0.2885758199, 0 , -937.4722531 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0827932651763447, 30.8705562207019280, 0.2885758199246696, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60326517975812, 7.8655281708623e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 3.4803357817333e-005, 29999.999798104, 20925650,  1.000000, 2975.237018, 1088.911215, -0.482581, -913.874292,  0.000000,  0.000000, -0.000000, -0.000000, -0.017975,  0.000596, -0.001626, -0.009368, -0.000000, -0.000000, 20438.091938, -10.387963,  0.000000,  0.000000,  0.000000, -0.000000, -0.045887,  0.085459, -0.000000, -0.000000,  0.110345, -0.000788,  0.000228, -0.048622, 10332.884846, -7114.552679,  0.000000, -0.000000,  0.098010,  0.007525, -0.000000,  0.000000,  0.009684,  0.021324,  0.147051, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00833, 0.0000000000000000, 0.0000000000000001, -0.0000000000000000, 0.0004078367562634, 0.0309697490977077, 0.0002529565486093, 380.8604232, 30010665.93, 925.061132315, 1782.70433883, 925.0098581054492100, 0.0001269905316796, 9.7396575027712604, 925.0098581054492100, 0.0001269905316796, 9.7396575027712604, 925.0557821544730400, -3.1461759515239329, -0.0000974964647060, -3149.79136 , -0.02837313734 , -20427.70398, 6.485414951, -2934.538193 , -0.02880553869 , -20459.73511, 3147.282889 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.7446963005677400, -0.0288055386893971, -20459.7351135422430000, 0.08279326341 , 968.3404273 , 0.2885758235, 0 , -937.4724442 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0827932634080214, 30.8679830723814350, 0.2885758235319652, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60325914109131, 7.8654494400647e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 6.9606715634665e-005, 29999.999798104, 20925650,  1.000000, 2975.293912, 1089.017386, -0.482586, -913.892587,  0.000000,  0.000000, -0.000000, -0.000000, -0.017975,  0.000596, -0.001626, -0.009368, -0.000000, -0.000000, 20438.457774, -10.388146,  0.000000,  0.000000,  0.000000, -0.000000, -0.045888,  0.085460, -0.000000, -0.000000,  0.110347, -0.000788,  0.000228, -0.048623, 10333.085661, -7115.423069,  0.000000, -0.000000,  0.098011,  0.007524, -0.000000,  0.000000,  0.009683,  0.021324,  0.147054, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.01666, 0.0000000000000000, 0.0000000000000001, -0.0000000000000000, 0.0004078422279036, 0.0303161657362686, 0.0002529584012201, 380.8451743, 30010065.14, 925.04261333, 1782.69478316, 924.9913380934872300, 0.0001269905316796, 9.7396575027712604, 924.9913380934872300, 0.0001269905316796, 9.7396575027712604, 925.0372632760688700, -3.1461129953349110, 0.0000974964615779, -3149.936125 , -0.02837352093 , -20428.06963, 6.485232976, -2934.681256 , -0.02880593783 , -20460.10196, 3147.26695 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.5856936970058100, -0.0288059378262798, -20460.1019605848310000, 0.08279439111 , 967.6844367 , 0.2885778837, 0 , -937.4678896 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0827943911145456, 30.2165471221314870, 0.2885778837211209, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60327121854582, 7.865606903236e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 0.000104410073452, 29999.999798104, 20925650,  1.000000, 2975.180125, 1088.805047, -0.482576, -913.855997,  0.000000,  0.000000, -0.000000, -0.000000, -0.017975,  0.000596, -0.001626, -0.009368, -0.000000, -0.000000, 20437.726105, -10.387779,  0.000000,  0.000000,  0.000000, -0.000000, -0.045887,  0.085458, -0.000000, -0.000000,  0.110342, -0.000788,  0.000228, -0.048621, 10332.684033, -7113.682304,  0.000000, -0.000000,  0.098009,  0.007526, -0.000000,  0.000000,  0.009686,  0.021323,  0.147048, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.02499, 0.0000000000000000, 0.0000000000000001, -0.0000000000000000, 0.0004078314246785, 0.0316154631600130, 0.0002529547263823, 380.8527987, 30010365.54, 925.051872823, 1782.69956955, 925.0005980994682200, 0.0001369918015849, 9.7396575027712604, 925.0005980994682200, 0.0001369918015849, 9.7396575027712604, 925.0465227492870800, -3.1461344722174851, 0.0000000015517507, -3149.646599 , -0.02837275375 , -20427.33833, 6.485596935, -2934.395134 , -0.02880513955 , -20459.36827, 3147.298829 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.9036950240297300, -0.0288051395547404, -20459.3682697444970000, 0.08279213033 , 968.9891558 , 0.2885737743, 0 , -937.4775805 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0827921303251581, 31.5115753393027940, 0.2885737742729904, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60326517975812, 8.4849859299901e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 0.00013921343126933, 29999.999798104, 20925650,  1.000000, 2975.237018, 1088.911215, -0.482581, -913.874292,  0.000000,  0.000000, -0.000000, -0.000000, -0.019391,  0.000643, -0.001626, -0.009368, -0.000000, -0.000000, 20438.091938, -10.387963,  0.000000,  0.000000,  0.000000, -0.000000, -0.049501,  0.092189, -0.000000, -0.000000,  0.110345, -0.000788,  0.000228, -0.048622, 10332.884846, -7114.552679,  0.000000, -0.000000,  0.105728,  0.008118, -0.000000,  0.000000,  0.009684,  0.021324,  0.147051, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.03332, 0.0000000000000000, 0.0000000000000001, -0.0000000000000000, 0.0004189418106127, 0.0309618358589777, 0.0002604708790735, 380.8527987, 30010365.54, 925.051872823, 1782.69955241, 925.0005980994682200, 0.0001169892617742, 9.7396575027712604, 925.0005980994682200, 0.0001169892617742, 9.7396575027712604, 925.0465226812548300, -3.1461544746413588, -0.0000000015548824, -3149.79136 , -0.02974186718 , -20427.70398, 6.485414951, -2934.538193 , -0.03020832274 , -20459.73511, 3147.282889 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.7446963010556800, -0.0302083227416684, -20459.7351135423050000, 0.08503602942 , 968.3331257 , 0.2971668994, 0 , -937.4730301 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0850360294163432, 30.8600955938358080, 0.2971668994331102, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60326517975812, 7.2460704117346e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 0.00017401678908666, 29999.999798104, 20925650,  1.000000, 2975.237018, 1088.911215, -0.482581, -913.874292,  0.000000,  0.000000, -0.000000, -0.000000, -0.016559,  0.000549, -0.001626, -0.009368, -0.000000, -0.000000, 20438.091938, -10.387963,  0.000000,  0.000000,  0.000000, -0.000000, -0.042273,  0.078729, -0.000000, -0.000000,  0.110345, -0.000788,  0.000228, -0.048622, 10332.884846, -7114.552679,  0.000000, -0.000000,  0.090291,  0.006932, -0.000000,  0.000000,  0.009684,  0.021324,  0.147051, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.04165, 0.0000000000000000, 0.0000000000000001, -0.0000000000000000, 0.0003967320308690, 0.0309591419182530, 0.0002454422894947, 380.8527997, 30010365.57, 925.051873953, 1782.69956155, 925.0005980994682200, 0.0001269905316796, 9.7397648993462873, 925.0005980994682200, 0.0001269905316796, 9.7397648993462873, 925.0465238459613600, -3.1461444939542704, 0.0001073906192790, -3149.79136 , -0.0270044075 , -20427.70398, 6.485414951, -2934.538193 , -0.02740275464 , -20459.73511, 3147.282889 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.7446963001039000, -0.0274027546371259, -20459.7351135421920000, 0.0805504848 , 968.33064 , 0.2799847733, 0 , -937.4732296 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0805504848036887, 30.8574104228000580, 0.2799847733265688, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60327183130884, 7.8655281612477e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 0.000208820146904, 29999.999798104, 20925650,  1.000000, 2975.239966, 1088.911228, -0.482586, -913.874294,  0.000000,  0.000000, -0.000000, -0.000000, -0.017975,  0.000596, -0.001626, -0.009368, -0.000000, -0.000000, 20438.139708, -10.387989,  0.000000,  0.000000,  0.000000, -0.000000, -0.045887,  0.085459, -0.000000, -0.000000,  0.110345, -0.000788,  0.000228, -0.048622, 10332.891529, -7114.631238,  0.000000, -0.000000,  0.098010,  0.007525, -0.000000,  0.000000,  0.009684,  0.021324,  0.147051, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.04998, 0.0000000000000000, 0.0000000000000001, -0.0000000000000000, 0.0004078368632265, 0.0308747327325363, 0.0002529565949968, 380.8527978, 30010365.5, 925.051871692, 1782.69956041, 925.0005980994682200, 0.0001269905316796, 9.7395501061962335, 925.0005980994682200, 0.0001269905316796, 9.7395501061962335, 925.0465215845804300, -3.1461444529045730, -0.0001073906224089, -3149.794313 , -0.02837313739 , -20427.75172, 6.485424028, -2934.538268 , -0.02880553914 , -20459.78323, 3147.282887 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.7446195290190200, -0.0288055391410814, -20459.7832263628220000, 0.08279322636 , 968.2467091 , 0.2885758385, 0 , -937.4734306 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0827932263644827, 30.7732785000316650, 0.2885758384539234, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60325852820738, 7.8655281804768e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 0.00024362350472133, 29999.999798104, 20925650,  1.000000, 2975.234071, 1088.911202, -0.482576, -913.874290,  0.000000,  0.000000, -0.000000, -0.000000, -0.017975,  0.000596, -0.001626, -0.009368, -0.000000, -0.000000, 20438.044168, -10.387936,  0.000000,  0.000000,  0.000000, -0.000000, -0.045887,  0.085459, -0.000000, -0.000000,  0.110345, -0.000788,  0.000228, -0.048622, 10332.878163, -7114.474119,  0.000000, -0.000000,  0.098010,  0.007525, -0.000000,  0.000000,  0.009684,  0.021324,  0.147051, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.05831, 0.0005729578000000, 0.0000000000000001, -0.0000000000000000, 0.0004078371775087, 0.0310353571370540, 0.0002529565211127, 380.8527987, 30010365.54, 925.051872823, 1782.69956098, 925.0005980994682200, 0.0001269905316796, 9.7396575027712604, 925.0005980994682200, 0.0001269905316796, 9.7396575027712604, 925.0465227152709500, -3.1461444734294219, -0.0000000000015650, -3149.788407 , -0.02837313729 , -20427.65623, 6.485405873, -2934.538118 , -0.02880553824 , -20459.687, 3147.282891 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.7447730830194800, -0.0288055382377134, -20459.6870007226280000, 0.08279328031 , 968.4070103 , 0.2885758497, 0 , -937.4736355 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.0827932803078311, 30.9333748000332210, 0.2885758497030375, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60326517975812, 7.8655281708623e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 0.00027842686253866, 29999.999798104, 20925650,  1.000000, 2975.237018, 1088.911215, -0.482581, -913.874292,  0.000000,  0.000000, -0.000000, -0.000000, -0.017975,  0.000596, -0.001626, -0.009368, -0.002815, -0.000000, 20438.091938, -10.387963,  0.000000,  0.000000,  0.000000, -0.000000, -0.045887,  0.085459, -0.244676, -0.000000,  0.110345, -0.000788,  0.000228, -0.048622, 10332.884846, -7114.552679,  0.000000, -0.000000,  0.098010,  0.007525, -0.024597,  0.000000,  0.009684,  0.021324,  0.147051, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.06664, -0.0005729578000000, 0.0000000000000001, -0.0000000000000000, -0.0007444710624259, 0.0309508910401431, 0.0002142157614350, 380.8527987, 30010365.54, 925.051872823, 1782.69956098, 925.0005980994682200, 0.0001269905316796, 9.7396575027712604, 925.0005980994682200, 0.0001269905316796, 9.7396575027712604, 925.0465227152709500, -3.1461444734294219, -0.0000000000015650, -3149.79136 , -0.03118803229 , -20427.70398, 6.485414951, -2934.538193 , -0.03162043364 , -20459.73511, 3147.282889 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.7446963009542700, -0.0316204336433761, -20459.7351135422400000, -0.1636359209 , 968.3230276 , 0.2645398495, 0 , -937.4738407 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.1636359208991941, 30.8491868687585790, 0.2645398495077889, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60326517975812, 7.8655281708623e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 0.00031323022035599, 29999.999798104, 20925650,  1.000000, 2975.237018, 1088.911215, -0.482581, -913.874292,  0.000000,  0.000000, -0.000000, -0.000000, -0.017975,  0.000596, -0.001626, -0.009368,  0.002815, -0.000000, 20438.091938, -10.387963,  0.000000,  0.000000,  0.000000, -0.000000, -0.045887,  0.085459,  0.244676, -0.000000,  0.110345, -0.000788,  0.000228, -0.048622, 10332.884846, -7114.552679,  0.000000, -0.000000,  0.098010,  0.007525,  0.024597,  0.000000,  0.009684,  0.021324,  0.147051, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.07497, 0.0000000000000000, 0.0005729578000001, -0.0000000000000000, 0.0015601450389812, 0.0309480851739702, 0.0002916696651895, 380.8527987, 30010365.54, 925.051872823, 1782.69956098, 925.0005980994682200, 0.0001269905316796, 9.7396575027712604, 925.0005980994682200, 0.0001269905316796, 9.7396575027712604, 925.0465227152709500, -3.1461444734294219, -0.0000000000015650, -3149.79136 , -0.02555824238 , -20427.70398, 6.485414951, -2934.538193 , -0.02599064374 , -20459.73511, 3147.282889 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 212.7446963001812000, -0.0259906437354181, -20459.7351135422470000, 0.3292224201 , 968.3204383 , 0.3126118538, 0 , -937.4740487 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0.3292224201476356, 30.8463896721185620, 0.3126118537937989, 29999.999798104, 29999.999798104, 0.0088992110125954, 0.6032651737036405, 359.8052229014763300, 0.60326517975812, 7.8655281708623e-006, -2.1264721644404, 0.78392301962142, 20939258.9850217920000000, 286509.6082162906000000, -777568.2070546461000000, 0.00034803357817333, 29999.999798104, 20925650,  1.000000, 2975.237018, 1088.911215, -0.482581, -913.874292,  0.000000,  0.000000, -0.000706, -0.000007, -0.017975,  0.000596, -0.001626, -0.009368, -0.000000, -0.000000, 20438.091938, -10.387963,  0.000000,  0.000000,  0.204148, -0.000000, -0.045887,  0.085459, -0.000000, -0.000000,  0.110345, -0.000788,  0.000228, -0.048622, 10332.884846, -7114.552679,  0.000000, -0.414170,  0.098010,  0.007525, -0.000000,  0.000000,  0.009684,  0.021324,  0.147051, -0.000759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
